.iii....ii...... 	 rsb_4 1
.iii....ii...... 	 rsb_3 2
.iii....ii...... 	 eor.w_4 1
.iii....ii...... 	 orn_4 1
.iii....ii...... 	 eor.w_3 2
.iii....ii...... 	 ror.w_3 1
.iii....ii...... 	 lsl.w_3 1
.iii....ii...... 	 mvn.w_2 2
.iii....ii...... 	 asr.w_3 1
.iii....ii...... 	 bic.w_3 2
.iii....ii...... 	 orr.w_4 1
.iii....ii...... 	 bfc_3 1
.iii....ii...... 	 orn_3 2
.iii....ii...... 	 add.w_3 2
.iii....ii...... 	 add.w_4 1
.iii....ii...... 	 mvn.w_3 
.iii....ii...... 	 sbc.w_3 2
.iii....ii...... 	 sbc.w_4 1
.iii....ii...... 	 usat_3 
.iii....ii...... 	 and.w_3 2
.iii....ii...... 	 and.w_4 1
.iii....ii...... 	 adc.w_3 2
.iii....ii...... 	 adc.w_4 1
.iii....ii...... 	 ssat_3 1
.iii....ii...... 	 bic.w_4 1
.iii....ii...... 	 cmn.w_2 2
.iii....ii...... 	 ubfx_4 1
.iii....ii...... 	 tst.w_3 1
.iii....ii...... 	 tst.w_2 2
.iii....ii...... 	 sub.w_4 1
.iii....ii...... 	 sub.w_3 2
.iii....ii...... 	 sbfx_4 1
.iii....ii...... 	 teq_3 1
.iii....ii...... 	 bfi_4 1
.iii....ii...... 	 cmp.w_3 1
.iii....ii...... 	 cmp.w_2 2
.iii....ii...... 	 teq_2 2
.iii....ii...... 	 orr.w_3 2
.iii....ii...... 	 cmn.w_3 1
.iii....ii...... 	 lsr.w_3 1
....iiiiiiiiiiii 	 ldrh.w_3 1
....iiiiiiiiiiii 	 strb.w_2 1
....iiiiiiiiiiii 	 str.w_2 1
....iiiiiiiiiiii 	 ldr.w_2 1
....iiiiiiiiiiii 	 ldrb.w_2 2
....iiiiiiiiiiii 	 ldrb.w_2 3
....iiiiiiiiiiii 	 ldrsb.w_2 2
....iiiiiiiiiiii 	 strh.w_3 1
....iiiiiiiiiiii 	 ldrh.w_2 1
....iiiiiiiiiiii 	 ldrh.w_2 4
